fromage,fromageLabel,type,typeLabel
http://www.wikidata.org/entity/Q3387785,Q3387785,http://www.wikidata.org/entity/Q3088323,industrial cheese
http://www.wikidata.org/entity/Q3411884,Q3411884,http://www.wikidata.org/entity/Q746471,blue cheese
http://www.wikidata.org/entity/Q3411884,Q3411884,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3421671,Q3421671,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3422607,Q3422607,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3422607,Q3422607,http://www.wikidata.org/entity/Q3088318,farmstead cheese
http://www.wikidata.org/entity/Q3422607,Q3422607,http://www.wikidata.org/entity/Q3323634,fresh cheese
http://www.wikidata.org/entity/Q3422607,Q3422607,http://www.wikidata.org/entity/Q16637313,dairy cheese
http://www.wikidata.org/entity/Q3431974,Q3431974,http://www.wikidata.org/entity/Q198815,goat cheese
http://www.wikidata.org/entity/Q3431974,Q3431974,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3438574,Q3438574,http://www.wikidata.org/entity/Q2213488,pressed uncooked cheese
http://www.wikidata.org/entity/Q3438574,Q3438574,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3438574,Q3438574,http://www.wikidata.org/entity/Q16637313,dairy cheese
http://www.wikidata.org/entity/Q3443104,Q3443104,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3463544,Q3463544,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3463544,Q3463544,http://www.wikidata.org/entity/Q3774485,washed-rind cheese
http://www.wikidata.org/entity/Q3463545,Q3463545,http://www.wikidata.org/entity/Q1256296,white mold-rind cheese
http://www.wikidata.org/entity/Q3463545,Q3463545,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3463547,Q3463547,http://www.wikidata.org/entity/Q1256296,white mold-rind cheese
http://www.wikidata.org/entity/Q3463547,Q3463547,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3463549,Q3463549,http://www.wikidata.org/entity/Q1256296,white mold-rind cheese
http://www.wikidata.org/entity/Q3463549,Q3463549,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3473001,Q3473001,http://www.wikidata.org/entity/Q198815,goat cheese
http://www.wikidata.org/entity/Q3473001,Q3473001,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3473001,Q3473001,http://www.wikidata.org/entity/Q3088326,natural-rind soft cheese
http://www.wikidata.org/entity/Q3473732,Q3473732,http://www.wikidata.org/entity/Q2213488,pressed uncooked cheese
http://www.wikidata.org/entity/Q3473732,Q3473732,http://www.wikidata.org/entity/Q2223649,French cheese
